index,category
The_Hallmarks_of_Cancer,cancer
Malar_rash,
Atopic_dermatitis,chronic 
Diabetes_in_dogs,chronic 
Latex_allergy,chronic 
Cancer_cell,cancer
Cancer_pain,cancer
Miliary_tuberculosis,chronic 
Milk_allergy,chronic 
Type_2_diabetes,chronic 
Neurosyphilis,
Asepsis,
Rash,
Skin_cancer,cancer
Cataract_surgery,
Hepatitis_D,
Cervical_cancer,cancer
Treatment_of_cancer,cancer
Chickenpox,
Idiopathic_intracranial_hypertension,
Constipation,
Hyperhidrosis,
Dermatitis_herpetiformis,chronic 
Head_and_neck_cancer,cancer
Wheat_allergy,chronic 
Rheumatoid_arthritis,chronic 
Uterine_cancer,cancer
Vaginal_flatulence,
Prostate_cancer,cancer
Noise-induced_hearing_loss,
Metastatic_breast_cancer,cancer
Alcohol_and_cancer,cancer
Perioral_dermatitis,
List_of_types_of_malnutrition,chronic 
Laryngeal_paralysis,
Inflammation,
Microscopic_colitis,chronic 
Cheyne%E2%80%93Stokes_respiration,
HIV,chronic 
Breast_cancer,cancer
Allergic_contact_dermatitis,
Protein%E2%80%93energy_malnutrition,chronic 
Allergy,chronic 
Gallbladder_cancer,cancer
Cancer_staging,cancer
Skin_allergy_test,chronic 
Congenital_hypothyroidism,chronic 
Testicular_cancer,cancer
Syphilis,
Egg_allergy,chronic 
Hepatitis_A_vaccine,
Rhinitis,chronic 
Precancerous_condition,cancer
Hypokalemic_periodic_paralysis,chronic 
Periampullary_cancer,cancer
Flatulence,
Varicose_veins,chronic 
Causes_of_cancer,cancer
Type_1_diabetes,chronic 
Rhinitis_medicamentosa,
Shivering,
Food_allergy,chronic 
Allergic_rhinitis,chronic 
Nephrogenic_diabetes_insipidus,chronic 
Adams%E2%80%93Stokes_syndrome,
Multi-drug-resistant_tuberculosis,chronic 
Tuberculosis_management,chronic 
University_of_Texas_MD_Anderson_Cancer_Center,cancer
Hepatitis_B_vaccine,chronic 
Pathophysiology_of_asthma,chronic 
Sleep_paralysis,
Allergic_conjunctivitis,chronic 
Pancreatic_cancer,cancer
Honeymoon_rhinitis,
Abdominal_pain,
Colitis,
Maturity_onset_diabetes_of_the_young,chronic 
Tuberculosis_diagnosis,chronic 
Athlete%27s_foot,
HIV_vaccine,chronic 
Cancer_vaccine,cancer
Prediabetes,chronic 
Neonatal_conjunctivitis,
Gout,chronic 
Thyroid_cancer,cancer
Lung_cancer,cancer
Laryngeal_cancer,cancer
Diabetes_insipidus,chronic 
Vulvar_cancer,cancer
Hepatitis_C,
Cancer,cancer
History_of_syphilis,
Indigestion,
World_Cancer_Day,cancer
Hereditary_nonpolyposis_colorectal_cancer,cancer
Tick_paralysis,
Inflammatory_breast_cancer,cancer
Tuberculosis_in_India,chronic 
American_Diabetes_Association,chronic 
Guatemala_syphilis_experiments,
Tree_nut_allergy,chronic 
Aseptic_meningitis,
White_coat_hypertension,
Osteoarthritis,chronic 
Colorectal_cancer,cancer
Ulcerative_colitis,chronic 
Epidemiology_of_cancer,cancer
Frequent_urination,
Bladder_cancer,cancer
Hypothyroidism,chronic 
Lupus_vulgaris,chronic 
Innate_resistance_to_HIV,chronic 
Leptomeningeal_cancer,cancer
Subtypes_of_HIV,chronic 
World_AIDS_Day,chronic 
Oral_cancer,cancer
Childhood_cancer,cancer
Oropharyngeal_cancer,cancer
Hives,chronic 
Cataract,
Breast_cancer_classification,cancer
Lupus_nephritis,chronic 
Squamous_cell_skin_cancer,cancer
Hypertension,chronic 
History_of_cancer,cancer
Maharashtra_University_of_Health_Sciences,
Peanut_allergy,chronic 
Malnutrition_in_India,chronic 
Sepsis,
Penile_cancer,cancer
HIV_superinfection,chronic 
Photodermatitis,chronic 
Klumpke_paralysis,
Hepatitis_A,
Asthma,chronic 
Appendicitis,
Medullary_thyroid_cancer,cancer
American_Cancer_Society,cancer
Cancer_signs_and_symptoms,cancer
Radiation-induced_cancer,cancer
Tuberculosis,chronic 
Terminal_dehydration,
HIV-positive_people,chronic 
Revised_National_Tuberculosis_Control_Program,chronic 
Cancer_Research_UK,cancer
Dehydration,
Discoid_lupus_erythematosus,chronic 
Facial_nerve_paralysis,
Mycobacterium_tuberculosis,chronic 
Neonatal_sepsis,
Viral_meningitis,
Kidney_cancer,cancer
Sensorineural_hearing_loss,
Stoke_Mandeville_Hospital,
President%27s_Emergency_Plan_for_AIDS_Relief,chronic 
Latent_tuberculosis,chronic 
History_of_cancer_chemotherapy,cancer
Enterocolitis,
Gastroenteritis,
Phytophotodermatitis,chronic 
Cancer_Treatment_Centers_of_America,cancer
Stasis_dermatitis,
Gestational_hypertension,
Pulmonary_hypertension,chronic 
National_Cancer_Institute,cancer
Memorial_Sloan_Kettering_Cancer_Center,cancer
Hearing_loss,
Back_pain,
Alcoholic_hepatitis,
Tuberculosis_vaccines,chronic 
Middle_back_pain,
Contact_dermatitis,chronic 
Lupus_anticoagulant,chronic 
Paralysis,chronic 
Nummular_dermatitis,
Irritant_diaper_dermatitis,
Structure_and_genome_of_HIV,chronic 
AmfAR%2C_The_Foundation_for_AIDS_Research,chronic 
Hepatitis_B,chronic 
Criminal_transmission_of_HIV,chronic 
Anal_cancer,cancer
Tuberculous_meningitis,chronic 
Esophageal_cancer,cancer
Hepatitis,chronic 
Flaccid_paralysis,chronic 
Cancer_stem_cell,cancer
Ovarian_cancer,cancer
Heart_cancer,cancer
Lymphocytic_choriomeningitis,
Low_back_pain,
Congenital_syphilis,
Hepatitis_E,
Seborrhoeic_dermatitis,chronic 
Allergy_to_cats,chronic 
Alpha-gal_allergy,chronic 
Liver_cancer,cancer
Sweat_allergy,chronic 
Autoimmune_hepatitis,chronic 
Systemic_lupus_erythematosus,chronic 
Hepatitis_B_virus,chronic 
Malnutrition,chronic 
Steatohepatitis,chronic 
History_of_diabetes,chronic 
Tuskegee_syphilis_experiment,
Essential_hypertension,chronic 
Conjunctivitis,
Hemorrhagic_gastroenteritis,
Pathophysiology_of_hypertension,chronic 
Cancer_Breakthroughs_2020,cancer
Crash_cart,
Cancer_immunotherapy,cancer
Diabetes,chronic 
Congenital_hearing_loss,
Orthostatic_hypertension,
Papillary_thyroid_cancer,cancer
Toothache,
Appendix_cancer,cancer
Diabetes_management,chronic 
Diabetes_in_cats,chronic 
Portal_hypertension,chronic 
Lupus_erythematosus,chronic 
Tuberculosis_radiology,chronic 
Cancer_in_cats,cancer
Maculopapular_rash,
Bruise,
Lip_licker%27s_dermatitis,
National_Institute_of_Allergy_and_Infectious_Diseases,chronic 
Ischemic_colitis,
Meningitis,
HIV_and_men_who_have_sex_with_men,chronic 
Dermatitis,chronic 
Conductive_hearing_loss,
History_of_tuberculosis,chronic 
Triple-negative_breast_cancer,cancer
Necrotizing_enterocolitis,
Urushiol-induced_contact_dermatitis,
Viral_hepatitis,chronic 
Endometrial_cancer,cancer
Dana%E2%80%93Farber_Cancer_Institute,cancer
Complications_of_diabetes,chronic 
Gestational_diabetes,
Stomach_cancer,cancer
Oral_allergy_syndrome,chronic 
